Order,Material Number,Material description,Order quantity (GMEIN),Basic start date,Basic finish date,GOS Text display for CPH production orde
100035504,S9991059,"PP 2/2 IEHK 2024,Suppl. Renewable UNIT",400,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035527,S9991150,"PP 1/2 ml IEHK 2024,Suppl. Medicine Inj.",100,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035529,S9991147,"SUB 3/5 IEHK 2024,Suppl. Medicine Inj.",113,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035571,S9999938,Prepack 1/2 Obstetric 3-renew. S9908302,100,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035572,S9999939,Prepack 2/2 Obstetric 3-renew. S9908302,100,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035588,S9999502,"Prepack 2/2 Sudan Co. Midwife kit, 2016",600,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035609,S9999495,"Prepack 2/3 SD,Primary Healthcare2016",474,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035629,S9999898,"Subkit 1/2 Midwifery ,3-renew S9902219",241,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035639,S9999986,Prepack for Recreation kits 2016,696,2025-07-07,2025-07-11,REL  PRC  MACM SETC
100035656,S9999933,Prepack 1/1 School in a Bag,800,2025-07-07,2025-07-11,REL  PRC  MACM SETC
100035671,S9910003,"Surg.inst.,delivery /SET",1200,2025-07-07,2025-07-11,REL  PRC  MACM SETC
100035673,S9999149,"AWD BAG 1/1 Periphery,Renewable S9903003",125,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035680,S9999143,"PP 3/3 Periphery,Renewable",425,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035724,S9999505,"Sub 1/7 SD IMCI Med. kit, 2016",150,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035728,S9999504,"Prepack 1/1 Sudan IMCI Med. kit, 2016",768,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035741,S9999494,"Prepack 1/3 SD,Primary Healthcare2016",110,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035752,S9999923,"Subkit 1/2 Sterilization, kit C S9908200",200,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035753,S9999924,"Subkit 2/2 Sterilization, kit C S9908200",200,2025-07-07,2025-07-11,REL  PRC  MACM SETC
100035855,S9991057,"SUB 6/6 IEHK 2024,Suppl. Renewable UNIT",120,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035873,S9991059,"PP 2/2 IEHK 2024,Suppl. Renewable UNIT",10,2025-07-07,2025-07-11,REL  PRC  BCRQ MANC SETC
100035902,S7993033,"AWD, Periphery kit, Renewable sub 3/3",19,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035923,S9999503,"Bag 1/1 Sudan, IMCI Med. kit, 2016",708,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035924,S9906807,"Yemen PHC kit 2025, Supp. HC Medicines",1,2025-07-07,2025-07-11,REL  PRC  BCRQ MACM SETC
100035568,S9999881,Subkit 1/6 Obstetric 3-renew.S9908302,50,2025-07-14,2025-07-18,REL  PRC  BCRQ MANC SETC
100035569,S9999882,Subkit 2/6 Obstetric 3-renew.S9908302,100,2025-07-14,2025-07-18,REL  PRC  BCRQ MACM SETC
100035574,S9999885,Subkit 5/6 Obstetric 3-renew.S9908302,100,2025-07-14,2025-07-18,REL  PRC  BCRQ MACM SETC
100035598,S9910006,"Surg.inst.,exam/sut,vaginal/cervical/SET",400,2025-07-14,2025-07-18,REL  PRC  MANC SETC
100035616,S9999492,"Sub 2/4 , SD Primary Healthcare2016",73,2025-07-14,2025-07-18,REL  PRC  BCRQ MACM SETC
100035659,S9999933,Prepack 1/1 School in a Bag,800,2025-07-14,2025-07-18,REL  PRC  MACM SETC
100035803,S9996726,DRC Measles Kit 2021 PP 1/1,7,2025-07-14,2025-07-18,REL  PRC  BCRQ MACM SETC
100035814,S9999199,Education PP 2 for SIC/SIB no globe,175,2025-07-14,2025-07-18,REL  PRC  MACM SETC
100035862,S9991058,"PP 1/2 IEHK 2024,Suppl. Renewable UNIT",240,2025-07-14,2025-07-18,REL  PRC  BCRQ MACM SETC
100035886,S9935081,Arabic Student Kit Grade 5-8,792,2025-07-14,2025-07-18,REL  PRC  MACM SETC
100035889,S9999496,"Prepack 3/3 SD,Primary Healthcare2016",446,2025-07-14,2025-07-18,REL  PRC  BCRQ MACM SETC
100034412,S9999989,prepack 3 system-wise (not physical),400,2025-07-21,2025-07-25,REL  DLV  PRC  MANC SETC
100034413,S9999989,prepack 3 system-wise (not physical),326,2025-07-21,2025-07-25,REL  DLV  PRC  MANC SETC
100035438,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,REL  PRC  BCRQ MANC SETC
100035439,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,REL  PRC  BCRQ MANC SETC
100035550,S9999503,"Bag 1/1 Sudan, IMCI Med. kit, 2016",708,2025-07-21,2025-07-25,REL  DLV  PRC  BCRQ MANC SETC
100035590,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,REL  PRC  BCRQ MANC SETC
100035591,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,REL  PRC  BCRQ MANC SETC
100035592,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,REL  PRC  BCRQ MANC SETC
100035765,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,REL  PRC  BCRQ MANC SETC
100035766,S9902600,Clean Delivery Kit,4500,2025-07-21,2025-07-25,REL  PRC  BCRQ MANC SETC
100035876,S9910003,"Surg.inst.,delivery /SET",1200,2025-07-21,2025-07-25,REL  PRC  MACM SETC
100035877,S9910004,"Surg.inst.,suture /SET",1200,2025-07-21,2025-07-25,REL  PRC  MACM SETC
100035878,S9910006,"Surg.inst.,exam/sut,vaginal/cervical/SET",400,2025-07-18,2025-07-25,REL  PRC  MACM SETC
